1497575384525778800,35590754,35590,11424632
1497575384582632600,48782803,84337,22516870
1497575384634534700,38984787,123238,26030901
1497575384687734100,42148398,165263,29157912
1497575384738478100,41695729,206794,30892132
1497575384796310200,38631877,245219,30952448
1497575384846933000,41108881,286082,31786792
1497575384902978400,39709095,325505,31841295
1497575384958890300,44339170,369519,33363365
1497575385008982300,39872536,409022,32846295
1497575385065237900,46823334,455436,34770380
1497575385112644500,37844953,492826,33046437
1497575385181774400,58529110,550862,38654640
1497575385230280500,38587205,588898,35622795
1497575385275093700,35212942,623522,32723554
1497575385324407400,38427609,661327,32018653
1497575385373805600,38579132,699244,31647338
1497575385419912400,37832631,736378,31187917
1497575385471966000,43824594,779466,32838619
1497575385515775000,35465626,814152,31149215
1497575385563874700,37915302,851253,30924659
1497575385614417900,39356616,889759,31255518
1497575385662581200,37254337,926123,30782244
1497575385711511800,37868204,963065,30698203
1497575385759352800,37760231,999862,30616038
1497575385805849600,36973523,1035836,30317113
1497575385859819300,39081401,1073882,30817228
1497575385906085800,38446839,1111255,30916609
1497575385952990400,37994807,1148138,30834087
1497575385997411100,35658924,1182649,30037670
1497575386047168100,37504450,1218971,30154959
1497575386092429600,37182384,1254934,30124819
1497575386138657200,39213860,1292893,30761680
1497575386187127600,38340187,1329940,30866347
1497575386230905400,37486292,1366097,30657973
1497575386283133100,44427924,1409159,32764069
1497575386331933500,39299687,1447049,32384964
1497575386379084000,38254756,1483857,31825072
1497575386435101400,40647840,1523021,32260224
1497575386485810500,42039639,1563537,32971177
1497575386537081200,39979043,1601953,32739498
1497575386582727000,37633161,1637984,31850498
1497575386631043000,38648049,1674994,31645723
1497575386675754400,37661925,1710981,31209236
1497575386725289700,36016129,1745286,30421886
1497575386773727600,38705775,1782247,30815563
1497575386819188300,37433538,1817898,30646301
1497575386866925400,39720561,1855801,31281694
1497575386911895500,35973721,1889919,30463189
1497575386958878000,39034940,1927064,30957433
1497575387006992000,38657624,1963794,31135795
1497575387055746100,40520038,2002350,31843549
1497575387114415600,48088858,2048437,34700838
1497575387159897200,37531986,2083921,33030097
1497575387211960300,44509851,2126346,34270350
1497575387257048600,37117580,2161338,32644934
1497575387306534600,38405285,2197582,32085803
1497575387360731700,37240941,2232625,31379432
1497575387411031500,39478903,2269871,31676765
1497575387462703700,41321824,2308923,32449684
1497575387508957100,36972667,2343587,31520441
1497575387573934700,52563383,2393807,35970254
1497575387626171000,36452145,2427865,33472401
1497575387677054600,37406623,2462844,32282768
1497575387728831100,40777693,2501159,32653865
1497575387775108700,36772526,2535430,31593891
1497575387827251400,44666915,2577562,33494713
1497575387881322900,39566882,2614551,33001424
1497575387932460200,43044061,2654980,33824547
1497575387985665800,44328308,2696654,34733859
1497575388049702000,38302238,2732259,33348369
1497575388098749600,40753462,2770280,33306731
1497575388151529500,39374570,2806885,32842128
1497575388206094000,44919996,2848998,34346339
1497575388255115700,39347176,2885496,33463318
1497575388300660500,38435496,2921046,32643739
1497575388353199400,41437617,2959563,33118481
1497575388403289400,38876839,2995480,32584359
1497575388455622200,40772237,3033257,32875146
1497575388507665900,42715983,3072939,33676545
1497575388556468400,38870934,3108737,32926259
1497575388602476700,37313540,3142942,31978992
1497575388653406300,38899901,3178699,31922556
1497575388702205500,38172842,3213693,31658133
1497575388754747700,38600981,3249081,31639676
1497575388802784500,38312923,3284144,31538931
1497575388854016200,39660553,3320521,31913843
